;ID;ODS;PLANTA / UNIDAD;ESPECIALIDAD;PLANO / ISOMÉTRICO;DESCRIPCIÓN DE LÍNEA / LAZOS DE CORROSIÓN;INGENIERÍA / LÍNEA / EQUIPO;SK UT ITALCO;REV.;MATERIAL BASE 1;MATERIAL BASE 2;CLASIFI-CACIÓN META-LURGÍA;SPOOL;DESCRIPCIÓN DE JUNTA 1;DESCRIPCIÓN DE JUNTA 2;# DE JUNTA;"TALLER (T)
CAMPO (C)";"Φ
inch";SCH / THK;PROCESO SOLDA-DURA;TIPO JUNTA;MAT. DE APORTE;WPS;FECHA EJECUTADA;ESTAMPE SOLDADOR;;;;Cantidad junta soldada X SOLDADOR;;;;cantidad Pulg. Diam X SOLDADOR;;;;VT;PLP;;RX PRE PWHTX;;;UT PRE PWHT;;;PWHT;;;DUREZA;;;RX POST PWHT;;;UT POST PWHT;;;OBSERVACIONES
;;;;;;;;;;;;;;;;;;;;PROCESO DE SOLDADURA;;;;;W1;W2;W3;W4;W1;W2;W3;W4;W1;W2;W3;W4;;RESUL-TADO;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;
|;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;37;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;9;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;38;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;10;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;39;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;11;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;40;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;12;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;41;29;U1300;ESTATICO;T1402;BOQUILLA H;T1402;7;0;A105;SA106 GRB;CS;NA;FLANGE WN;PIPE;1;T;3    ;80;GTAW;BW;ER70S-6;01UT;29/05/2023;C28;;;;1;;;;3    ;;;;OK;OK;25;OK;OK;PTSC-008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;42;29;U1300;ESTATICO;T1402;BOQUILLA H;T1402;7;0;A105;SA106 GRB;CS;NA;NIPPLE;ELBOW 90°;2;T;3    ;80;GTAW;BW;ER70S-6;01UT;29/05/2023;C28;;;;1;;;;3    ;;;;OK;OK;25;OK;OK;PTSC-008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;43;29;U1300;ESTATICO;T1402;BOQUILLA H;T1402;7;0;A105;SA106 GRB;CS;NA;ELBOW 90°;NIPPLE;3;T;3    ;80;GTAW;BW;ER70S-6;01UT;29/05/2023;C28;;;;1;;;;3    ;;;;OK;OK;25;OK;OK;PTSC-008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;44;29;U1300;LAZOS DE CORROSION;A36368;LÍNEA DRENAJE TAPADO;E1309C;10;0;A105;SA106 GRB;CS;NA;FLANGE SW;PIPE;1;T; 3/4;80;GTAW;SW;ER70S-6;01UT;15/05/2023;C13;;;;1;;;; 3/4;;;;OK;OK;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;45;29;U1300;LAZOS DE CORROSION;A36368;LÍNEA DRENAJE TAPADO;E1309C;10;0;SA106 GRB;A105;CS;NA;PIPE;VALV GATE;2;T; 3/4;80;GTAW;SW;ER70S-6;01UT;15/05/2023;C13;;;;1;;;; 3/4;;;;OK;OK;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;46;29;U1300;LAZOS DE CORROSION;A36368;LÍNEA DRENAJE TAPADO;E1309C;10;0;A105;SA106 GRB;CS;NA;VALV GATE;PIPE;3;T; 3/4;80;GTAW;SW;ER70S-6;01UT;15/05/2023;C13;;;;1;;;; 3/4;;;;OK;OK;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
